source,target,value
娛樂Apple派,旁白鴿,0
吃喝玩樂看Apple,旁白鴿,0
爽AAAA,旁白鴿,0
AppleBBAAAA 台灣,旁白鴿,0
飲食男女 台灣,旁白鴿,0
Apple國際,旁白鴿,0
Apple動未條,旁白鴿,0
Apple陪審團,旁白鴿,0
Apple跑跳碰,旁白鴿,0
科技Apple派,旁白鴿,0
劉方慈 Crystal Liu,旁白鴿,0
李至正,旁白鴿,0
四月桐-April,旁白鴿,0
真心白木 成 柏慎,旁白鴿,0
壹電視嬌主播 陳姿利,旁白鴿,0
亨利市,旁白鴿,0
娛樂Apple派,爽AAAA,0
吃喝玩樂看Apple,爽AAAA,0
旁白鴿,爽AAAA,0
AppleBBAAAA 台灣,爽AAAA,0
飲食男女 台灣,爽AAAA,0
宅女小紅,爽AAAA,0
Apple地產月刊,爽AAAA,0
Apple國際,爽AAAA,0
AppleBBAAAA即時News,爽AAAA,0
Apple動未條,爽AAAA,0
Apple陪審團,爽AAAA,0
Apple跑跳碰,爽AAAA,0
科技Apple派,爽AAAA,0
Apple地產王,爽AAAA,0
台灣音樂書寫團隊,爽AAAA,0
美食天王-AppleBBAAAA,爽AAAA,0
News主播 & 記者 粉絲團 News Anchor & Reporter,爽AAAA,0
Rosy clouds 專業代購,爽AAAA,0
對白有深度點好嗎?,爽AAAA,0
你為什麼要檢舉我,爽AAAA,0
Nexdoor | 宇軒數位,爽AAAA,0
BB行一善,爽AAAA,0
101Dr.健康e情AAAA,爽AAAA,0
娱乐最前线,爽AAAA,0
希望工程,爽AAAA,0
泡菜公主的粉絲塗鴉團,爽AAAA,0
樹屋旅店 The Tree House Design Hotel,爽AAAA,0
【3c冉女人】主播王又冉的媽咪時尚-小葵媽,爽AAAA,0
壹電視 Next TVNews部,爽AAAA,0
MOD粉絲團,爽AAAA,0
中央社就給你「國際News」,爽AAAA,0
永康頭殼秀,爽AAAA,0
你手為什麼要那麼賤呢?,爽AAAA,0
王哥,爽AAAA,0
不3不4 D-奇幻魅影全像世界大展,爽AAAA,0
我愛中港（竹南、頭份、後龍、造橋、三灣、南庄、峨眉、北埔）新竹州竹南郡 淡水廳中港堡,爽AAAA,0
娛樂Apple派,吃喝玩樂看Apple,0
爽AAAA,吃喝玩樂看Apple,0
AppleBBAAAA 台灣,吃喝玩樂看Apple,0
飲食男女 台灣,吃喝玩樂看Apple,0
飲食男女,吃喝玩樂看Apple,0
毛愛Apple,吃喝玩樂看Apple,0
Apple國際,吃喝玩樂看Apple,0
AppleBBAAAA即時News,吃喝玩樂看Apple,0
Apple動未條,吃喝玩樂看Apple,0
Apple陪審團,吃喝玩樂看Apple,0
科技Apple派,吃喝玩樂看Apple,0
Apple地產王,吃喝玩樂看Apple,0
張允曦小8,吃喝玩樂看Apple,0
筱蕾（陳筱蕾）,吃喝玩樂看Apple,0
內子宮崎葵,吃喝玩樂看Apple,0
張喬菲,吃喝玩樂看Apple,0
帕莎蒂娜國際餐飲事業,吃喝玩樂看Apple,0
Kevin老師,吃喝玩樂看Apple,0
饕客送 Taokesong 美食外送,吃喝玩樂看Apple,0
EZTABLE 簡單桌 - 預訂美好用餐時光,吃喝玩樂看Apple,0
Ruby 劉馨如,吃喝玩樂看Apple,0
娱乐最前线,吃喝玩樂看Apple,0
溫紳,吃喝玩樂看Apple,0
林莉婷,吃喝玩樂看Apple,0
台北好生活,吃喝玩樂看Apple,0
Ruby 林芊秀,吃喝玩樂看Apple,0
哈妮.小草莓.謝依珊,吃喝玩樂看Apple,0
上海鄉村,吃喝玩樂看Apple,0
相機美人,吃喝玩樂看Apple,0
小豬寶の悠遊記,吃喝玩樂看Apple,0
吃喝玩樂看Apple,娛樂Apple派,0
爽AAAA,娛樂Apple派,0
旁白鴿,娛樂Apple派,0
AppleBBAAAA 台灣,娛樂Apple派,0
飲食男女 台灣,娛樂Apple派,0
修杰楷,娛樂Apple派,0
Apple國際,娛樂Apple派,0
AppleBBAAAA即時News,娛樂Apple派,0
Apple動未條,娛樂Apple派,0
Apple陪審團,娛樂Apple派,0
Apple余艾苔,娛樂Apple派,0
Apple跑跳碰,娛樂Apple派,0
科技Apple派,娛樂Apple派,0
Apple地產王,娛樂Apple派,0
Apple搖錢樹,娛樂Apple派,0
苗．春祭 Sprouts Art Festival,娛樂Apple派,0
動News旁白哥好強大~AAAA導,娛樂Apple派,0
翻滾吧! 男人,娛樂Apple派,0
侯彥西,娛樂Apple派,0
舒子晨Nikita,娛樂Apple派,0
黃豪平,娛樂Apple派,0
張允曦小8,娛樂Apple派,0
IT'S SAM 伊斯山造型,娛樂Apple派,0
朱芯儀,娛樂Apple派,0
Melody時尚媽咪,娛樂Apple派,0
王子 邱勝翊,娛樂Apple派,0
Lulu 黃路梓茵,娛樂Apple派,0
明天記得愛上我 Will You Still Love Me Tomorrow?,娛樂Apple派,0
CHOCOLABS 可口APP研究室,娛樂Apple派,0
大元,娛樂Apple派,0
Circus香港專屬後援會,娛樂Apple派,0
Jerry Yan (言承旭),娛樂Apple派,0
客房服務Room Service Taiwan,娛樂Apple派,0
施文彬,娛樂Apple派,0
尹莉(BoBo)官方粉絲團,娛樂Apple派,0
安于晴Charlene,娛樂Apple派,0
翁滋蔓 Smire Tzymann,娛樂Apple派,0
張喬菲,娛樂Apple派,0
簡亞當 Adam's talk,娛樂Apple派,0
Coara黃安若,娛樂Apple派,0
歐小憲,娛樂Apple派,0
舞力全開,娛樂Apple派,0
旅行應援團,娛樂Apple派,0
張嘉雲 - 花花,娛樂Apple派,0
我是救星｜You are the NEXT,娛樂Apple派,0
寶靈魔法學院,娛樂Apple派,0
劉方慈 Crystal Liu,娛樂Apple派,0
宥是一個好聲音 林宥嘉後援會,娛樂Apple派,0
甜心虎牙-陳伊,娛樂Apple派,0
邱偲琹Ally,娛樂Apple派,0
王晴 Serene,娛樂Apple派,0
華視娛樂show,娛樂Apple派,0
曾雅蘭,娛樂Apple派,0
陳 薇,娛樂Apple派,0
成語蕎 Jenny Cheng,娛樂Apple派,0
何戎 Kelly 的幸福大平台,娛樂Apple派,0
李詠嫻  Jackie Lee,娛樂Apple派,0
完美先生"宥勝",娛樂Apple派,0
阿布 & 米雪兒 幸福布二家,娛樂Apple派,0
曾奕翔,娛樂Apple派,0
韋佳宏 (野獸),娛樂Apple派,0
御水 Hydro Mode 美顏體雕,娛樂Apple派,0
群星瑞智 Star Ritz,娛樂Apple派,0
大喇叭來了,娛樂Apple派,0
百鴻娛樂,娛樂Apple派,0
楊銘威,娛樂Apple派,0
王建復 Jeff Wang - 瘋建幫,娛樂Apple派,0
大久保麻梨子 Okubo Mariko,娛樂Apple派,0
永遠的大玩偶~阿西陳博正,娛樂Apple派,0
關韶文,娛樂Apple派,0
左左右右Zony&Yony,娛樂Apple派,0
必Po TV,娛樂Apple派,0
紀艾希 Ring,娛樂Apple派,0
管麟 Peter,娛樂Apple派,0
八三夭阿電,娛樂Apple派,0
全球大悶鍋,娛樂Apple派,0
最完美的女孩,娛樂Apple派,0
雙胞胎 依依佩佩  的 依依,娛樂Apple派,0
健忘村 The Village of No Return,娛樂Apple派,0
糖妹 Kandy,娛樂Apple派,0
藍心湄 Hsin-Mei Lan,娛樂Apple派,0
Phei Yong 培永,娛樂Apple派,0
黃健瑋,娛樂Apple派,0
楊謹華 Cheryl,娛樂Apple派,0
Candy.mai 麥,娛樂Apple派,0
HORIEN 5℃天然無氣泡蘇打水,娛樂Apple派,0
周定緯 Judy Chou,娛樂Apple派,0
Paul與咪咪的朱式會社,娛樂Apple派,0
維娜-李萱verna,娛樂Apple派,0
Innovate 專業頭皮養護,娛樂Apple派,0
楊皓如,娛樂Apple派,0
陳彥佐（小花）,娛樂Apple派,0
Aimee Yun Yun Sun 孫芸芸,娛樂Apple派,0
簡立喆主播,娛樂Apple派,0
壹電視 Next TVNews部,娛樂Apple派,0
MOD粉絲團,娛樂Apple派,0
Yilin愛戀瑜珈,娛樂Apple派,0
仔仔周渝民,娛樂Apple派,0
許仁杰國際論壇★熊熊專屬遊樂園,娛樂Apple派,0
楊一展粉絲後援會 Weber Yang International Fans Club,娛樂Apple派,0
LOLLIPOP_F歌迷會,娛樂Apple派,0
苗可麗後援會,娛樂Apple派,0
滾石唱片 - 馬來西亞 Rock Records Malaysia,娛樂Apple派,0
惡男BB記 Bad Boys’ Diary,娛樂Apple派,0
我愛中港（竹南、頭份、後龍、造橋、三灣、南庄、峨眉、北埔）新竹州竹南郡 淡水廳中港堡,娛樂Apple派,0
壹顆Apple,娛樂Apple派,0
『有酒窩的lulu貓 雜貨鋪 』串門文化,娛樂Apple派,0
娛樂Apple派,AppleBBAAAA 台灣,0
吃喝玩樂看Apple,AppleBBAAAA 台灣,0
爽AAAA,AppleBBAAAA 台灣,0
旁白鴿,AppleBBAAAA 台灣,0
飲食男女 台灣,AppleBBAAAA 台灣,0
飲食男女,AppleBBAAAA 台灣,0
銘AAAAmol即時News,AppleBBAAAA 台灣,0
Apple地產月刊,AppleBBAAAA 台灣,0
Apple圖解News│Apple360,AppleBBAAAA 台灣,0
修杰楷,AppleBBAAAA 台灣,0
我得了一種吃菜就會死的病-微疼,AppleBBAAAA 台灣,0
壹週刊,AppleBBAAAA 台灣,0
Apple國際,AppleBBAAAA 台灣,0
AppleBBAAAA即時News,AppleBBAAAA 台灣,0
Apple動未條,AppleBBAAAA 台灣,0
Apple愛逗陣行,AppleBBAAAA 台灣,0
Apple陪審團,AppleBBAAAA 台灣,0
Apple余艾苔,AppleBBAAAA 台灣,0
Apple跑跳碰,AppleBBAAAA 台灣,0
科技Apple派,AppleBBAAAA 台灣,0
Apple地產王,AppleBBAAAA 台灣,0
Apple搖錢樹,AppleBBAAAA 台灣,0
茉莉花園,AppleBBAAAA 台灣,0
聶永真 Aaron Nieh,AppleBBAAAA 台灣,0
覺醒音樂祭 Wake Up Festival,AppleBBAAAA 台灣,0
動News旁白哥好強大~AAAA導,AppleBBAAAA 台灣,0
蔡正元,AppleBBAAAA 台灣,0
愛 LOVE,AppleBBAAAA 台灣,0
SSU大專學生運動網,AppleBBAAAA 台灣,0
曾莞婷,AppleBBAAAA 台灣,0
許維恩,AppleBBAAAA 台灣,0
侯昌明,AppleBBAAAA 台灣,0
美食天王-AppleBBAAAA,AppleBBAAAA 台灣,0
吳怡霈(Patty),AppleBBAAAA 台灣,0
超犀利趴,AppleBBAAAA 台灣,0
CHOCOLABS 可口APP研究室,AppleBBAAAA 台灣,0
楊千霈 Pink Yang,AppleBBAAAA 台灣,0
China Airlines 中華航空,AppleBBAAAA 台灣,0
壹起發財,AppleBBAAAA 台灣,0
壹傳媒工會 Next Media Trade Union,AppleBBAAAA 台灣,0
香港AppleBBAAAA,AppleBBAAAA 台灣,0
News主播 & 記者 粉絲團 News Anchor & Reporter,AppleBBAAAA 台灣,0
中央社News粉絲團,AppleBBAAAA 台灣,0
Deanna Guidedog 導盲犬,AppleBBAAAA 台灣,0
謝金燕 Jeannie,AppleBBAAAA 台灣,0
OUI are family．會星堂,AppleBBAAAA 台灣,0
李騰 Lee Teng,AppleBBAAAA 台灣,0
客房服務Room Service Taiwan,AppleBBAAAA 台灣,0
娛果 - Apple娛樂,AppleBBAAAA 台灣,0
Newse論壇,AppleBBAAAA 台灣,0
兩岸NewsAAAA導獎,AppleBBAAAA 台灣,0
就是愛銘傳,AppleBBAAAA 台灣,0
銘傳大學大傳系海青班2010,AppleBBAAAA 台灣,0
翻面映畫 ,AppleBBAAAA 台灣,0
貓爵 Duke of Cat,AppleBBAAAA 台灣,0
羅雷集團,AppleBBAAAA 台灣,0
尹莉(BoBo)官方粉絲團,AppleBBAAAA 台灣,0
中區國稅局  稅務e吉棒,AppleBBAAAA 台灣,0
嘉義市長涂醒哲,AppleBBAAAA 台灣,0
中華民國自行車騎士協會 Taiwan Cyclist Federation,AppleBBAAAA 台灣,0
宋楚瑜找朋友,AppleBBAAAA 台灣,0
立法委員 黃偉哲,AppleBBAAAA 台灣,0
